96.66667,94.5,98.16667,96.66667,94.83333,94.16667,93.16667
95.83333,95.33333,99.33333,97.66667,95.5,96.16667,94
95.83333,96.33333,99.33333,98.66667,96.5,96.66667,94.6666
98.33333,97.16667,100,98.83333,97.33333,98.5,96.6666
98.33333,97.66667,100,99.33333,98.33333,98.5,97.33333
99,98.83333,100,99.3333,99.33333,99.33333,98.16667
99.13333,98.66667,100,99.33333,99,99.33333,98.33333
98.5,99.33333,99.83333,99.66667,99.33333,99.66667,98.66667
99.3,99.3,99.7,99.66667,99.6666,99.1,98.9
99.8,99.6666,100,100,99.6666,99.5,99.1
100,100,100,100,99.9,99.2,98.8333
100,100,100,100,100,99.7,99.333
100,100,100,100,100,99.8,99.1
100,100,100,100,100,100,99.9
100,100,100,100,100,99.9,99.7
100,100,100,100,100,100,99.9
3.639879154,3.623867069,3.654764293,3.636761711,3.61754386,3.557871878,3.555839822
3.74759519,3.713527054,3.7619,3.739418255,3.708366935,3.620736842,3.623636364
3.7294,3.6873,3.7471,3.728456914,3.675678392,3.597628866,3.596670135
3.7733,3.7147,3.7992,3.7693,3.6928,3.590963855,3.588799193
3.8402,3.7862,3.8607,3.8303,3.7659,3.643819095,3.641675076
3.8293,3.7566,3.8517,3.8152,3.7319,3.5809,3.575975976
3.8426,3.7635,3.8658,3.8375,3.7501,3.603603604,3.600902708
3.8814,3.7967,3.8974,3.8587,3.7754,3.6114,3.618218218
3.8745,3.7978,3.8997,3.855,3.7755,3.6051,3.616
3.8863,3.7828,3.9042,3.865,3.7573,3.58006012,3.574849699
3.8667,3.7953,3.8801,3.8499,3.7698,3.6019,3.6102
3.891,3.7867,3.907,3.8701,3.7648,3.6021,3.605
3.929,3.8262,3.937,3.9032,3.8029,3.6136,3.6224
3.9388,3.8188,3.9549,3.9052,3.7843,3.5821,3.5858
3.9314,3.8457,3.9436,3.9069,3.8203,3.5923,3.6203
3.9375,3.8285,3.9585,3.9257,3.8126,3.6118,3.6088
12.43831,15.79594,14.93442,12.58844,13.82506,12.12338,10.55541
11.01804,14.41427,16.47821,14.92892,14.09817,13.52397,10.10108
10.36538,13.80334,18.34157,16.57227,12.86762,16.04895,9.71007
6.95685,11.25022,20.4041,18.36573,11.44735,17.06715,8.97149
2.77298,10.85275,23.79407,21.44116,10.56962,20.13812,8.39969
7.84383,9.85334,25.34673,22.6807,10.54581,21.9469,8.84615
2.56962,7.57011,27.97184,24.71947,10.3391,22.52304,8.1674
2.5736,5.60983,30.01273,26.46197,8.77681,25.12441,7.13962
2.63678,5.59934,31.86868,30.52002,7.43211,28.15192,6.25894
2.38376,5.51076,34.05167,29.74452,4.97199,27.88941,5.63001
2.30916,5.09083,36.28595,33.60604,4.64863,31.43649,5.68385
2.46861,5.14699,38.70436,36.21715,4.14841,33.64191,5.40249
2.46348,5.15333,42.30134,38.0813,4.70122,37.07114,4.08581
2.54673,5.39195,44.88248,39.57561,4.82259,34.91202,4.64969
2.20932,4.77257,45.54473,41.57546,4.21553,39.58638,3.58787
2.23757,4.90655,50.17593,43.44668,4.35556,41.01898,4.72884
1.52669,1.53374,1.52156,1.57536,1.57792,1.5874,1.59509
1.47996,1.52986,1.466,1.58564,1.56452,1.59263,1.54866
1.554,1.518,1.539,1.57224,1.62412,1.59794,1.59521
1.511,1.515,1.486,1.605,1.635,1.62851,1.60379
1.456,1.492,1.435,1.584,1.572,1.57286,1.59316
1.466,1.507,1.429,1.613,1.597,1.608,1.5866
1.432,1.484,1.401,1.59,1.607,1.56857,1.58676
1.427,1.455,1.4,1.601,1.572,1.579,1.55656
1.422,1.457,1.409,1.597,1.591,1.617,1.613
1.416,1.449,1.419,1.6,1.617,1.62525,1.63527
1.391,1.441,1.364,1.581,1.613,1.597,1.579
1.378,1.439,1.369,1.595,1.589,1.596,1.581
1.423,1.415,1.423,1.61,1.67,1.618,1.642
1.374,1.431,1.362,1.618,1.607,1.643,1.641
1.326,1.397,1.307,1.604,1.577,1.611,1.591
1.391,1.395,1.373,1.611,1.619,1.607,1.604
